date,customer_id,PK,product,issue_type,handling_time_seconds,agent_id,conversation_notes
12/16/2023,CUS_9346,CUS_9346-1,iPhone 15,Technical Support,893,Agent_007,Incoming call - screen problems. Customer reported screen flickers constantly. Had them try removed recently installed apps. Issue partially resolved but customer was unsatisfied.
12/16/2023,CUS_2704,CUS_2704-1,iPhone 15,Technical Support,747,Agent_014,"Cust called about screen issues. Says half the screen not responding. Walked through adjusted touch sensitivity. unresolved, customer somewhat satisfied with result."
12/17/2023,CUS_4685,CUS_4685-1,Pixel 8,Technical Support,789,Agent_009,"Cust called about camera issues. Says flash not functioning. Walked through factory reset device. partially resolved, customer satisfied with result."
12/18/2023,CUS_4039,CUS_4039-1,iPhone 15,Technical Support,811,Agent_016,camera related call. Customer experiencing showing black screen only. Suggested factory reset device as per protocol. escalated. Customer feedback: unsatisfied.
12/18/2023,CUS_3119,CUS_3119-1,iPhone 15,Technical Support,505,Agent_019,Customer service call about screen. Main complaint: half the screen not responding. Walked them through checked for screen protector issues. Status: resolved. Customer was unsatisfied with support.
12/19/2023,CUS_3280,CUS_3280-1,Galaxy S24,Technical Support,229,Agent_016,Incoming call - screen problems. Customer reported dead pixels spreading. Had them try tested different brightness levels. Issue partially resolved but customer was somewhat satisfied.
12/20/2023,CUS_1300,CUS_1300-1,iPhone 15,Technical Support,414,Agent_018,Customer service call about screen. Main complaint: touch sensitivity issues. Walked them through reset touch calibration. Status: escalated. Customer was somewhat satisfied with support.
12/20/2023,CUS_8574,CUS_8574-1,iPhone 15,Technical Support,191,Agent_006,screen related call. Customer experiencing screen flickers constantly. Suggested removed recently installed apps as per protocol. escalated. Customer feedback: somewhat satisfied.
12/21/2023,CUS_6251,CUS_6251-1,Galaxy S24,Technical Support,768,Agent_001,Customer reached out regarding battery not working properly - draining extremely fast. Provided troubleshooting steps: checked for rogue apps. escalated. Note: customer seemed unsatisfied.
12/21/2023,CUS_7802,CUS_7802-1,Galaxy S24,Technical Support,155,Agent_019,battery related call. Customer experiencing gets really hot while charging. Suggested disabled location services as per protocol. partially resolved. Customer feedback: unsatisfied.
12/22/2023,CUS_2719,CUS_2719-1,iPhone 15,Technical Support,588,Agent_008,"Cust called about battery issues. Says gets really hot while charging. Walked through disabled location services. unresolved, customer satisfied with result."
12/23/2023,CUS_9619,CUS_9619-1,iPhone 15,Technical Support,461,Agent_004,Incoming call - screen problems. Customer reported green tint appearing. Had them try tested different brightness levels. Issue escalated but customer was unsatisfied.
12/24/2023,CUS_7957,CUS_7957-1,iPhone 15,Technical Support,379,Agent_014,"Cust called about screen issues. Says weird lines across display. Walked through checked for screen protector issues. unresolved, customer satisfied with result."
12/24/2023,CUS_1342,CUS_1342-1,Pixel 8,Technical Support,638,Agent_004,battery related call. Customer experiencing dies within an hour. Suggested adjusted screen brightness as per protocol. escalated. Customer feedback: somewhat satisfied.
12/25/2023,CUS_4155,CUS_4155-1,iPhone 15,Technical Support,294,Agent_019,Customer reached out regarding screen not working properly - touch really inconsistent. Provided troubleshooting steps: updated display drivers. resolved. Note: customer seemed somewhat satisfied.
12/26/2023,CUS_6764,CUS_6764-1,Galaxy S24,Technical Support,669,Agent_016,Customer reached out regarding screen not working properly - half the screen not responding. Provided troubleshooting steps: adjusted touch sensitivity. escalated. Note: customer seemed unsatisfied.
12/26/2023,CUS_2108,CUS_2108-1,iPhone 15,Technical Support,694,Agent_009,Incoming call - screen problems. Customer reported touch sensitivity issues. Had them try checked for physical damage. Issue partially resolved but customer was satisfied.
12/27/2023,CUS_9626,CUS_9626-1,iPhone 15,Technical Support,729,Agent_011,Customer service call about screen. Main complaint: touch really inconsistent. Walked them through adjusted touch sensitivity. Status: resolved. Customer was somewhat satisfied with support.
12/28/2023,CUS_2204,CUS_2204-1,Galaxy S23,Technical Support,748,Agent_003,"Cust called about screen issues. Says dead pixels spreading. Walked through updated display drivers. resolved, customer unsatisfied with result."
12/28/2023,CUS_7883,CUS_7883-1,iPhone 15,Technical Support,663,Agent_019,Incoming call - screen problems. Customer reported green tint appearing. Had them try removed recently installed apps. Issue escalated but customer was satisfied.
12/28/2023,CUS_9802,CUS_9802-1,iPhone 15,Technical Support,634,Agent_005,Customer reached out regarding screen not working properly - green tint appearing. Provided troubleshooting steps: adjusted touch sensitivity. partially resolved. Note: customer seemed unsatisfied.
12/29/2023,CUS_6622,CUS_6622-1,Galaxy S24,Technical Support,476,Agent_016,Incoming call - screen problems. Customer reported ghost touches happening. Had them try adjusted touch sensitivity. Issue escalated but customer was satisfied.
12/29/2023,CUS_2344,CUS_2344-1,iPhone 14,Technical Support,900,Agent_015,Customer service call about camera. Main complaint: camera app keeps crashing. Walked them through reset camera settings. Status: escalated. Customer was satisfied with support.
12/29/2023,CUS_3803,CUS_3803-1,Galaxy S23,Technical Support,472,Agent_008,"Cust called about battery issues. Says shuts down randomly at 50%. Walked through checked charging patterns. partially resolved, customer unsatisfied with result."
12/30/2023,CUS_2433,CUS_2433-1,Pixel 8,Technical Support,385,Agent_005,screen related call. Customer experiencing weird lines across display. Suggested updated display drivers as per protocol. resolved. Customer feedback: somewhat satisfied.
12/30/2023,CUS_1079,CUS_1079-1,Galaxy S24,Technical Support,819,Agent_010,Customer reached out regarding camera not working properly - front camera not working. Provided troubleshooting steps: checked for latest software updates. resolved. Note: customer seemed unsatisfied.
12/31/2023,CUS_7116,CUS_7116-1,Galaxy S23,Technical Support,798,Agent_013,Incoming call - screen problems. Customer reported half the screen not responding. Had them try updated display drivers. Issue unresolved but customer was unsatisfied.
12/31/2023,CUS_7600,CUS_7600-1,iPhone 15,Technical Support,668,Agent_017,Customer reached out regarding screen not working properly - half the screen not responding. Provided troubleshooting steps: reset touch calibration. resolved. Note: customer seemed somewhat satisfied.
1/1/2024,CUS_4376,CUS_4376-1,Galaxy S23,Technical Support,768,Agent_012,Customer service call about battery. Main complaint: shows incorrect battery percentage. Walked them through turned off background refresh. Status: escalated. Customer was satisfied with support.
1/2/2024,CUS_4197,CUS_4197-1,iPhone 15,Technical Support,781,Agent_018,"Cust called about screen issues. Says dead pixels spreading. Walked through removed recently installed apps. resolved, customer somewhat satisfied with result."
1/2/2024,CUS_1083,CUS_1083-1,Galaxy S23,Technical Support,215,Agent_017,Customer service call about battery. Main complaint: won't charge past 20%. Walked them through adjusted screen brightness. Status: unresolved. Customer was satisfied with support.
1/2/2024,CUS_9766,CUS_9766-1,iPhone 15,Technical Support,522,Agent_011,"Cust called about screen issues. Says weird lines across display. Walked through tested different brightness levels. resolved, customer somewhat satisfied with result."
1/3/2024,CUS_8123,CUS_8123-1,iPhone 15,Technical Support,197,Agent_014,Incoming call - camera problems. Customer reported night mode not working. Had them try reset camera settings. Issue unresolved but customer was satisfied.
1/3/2024,CUS_8672,CUS_8672-1,iPhone 15,Technical Support,147,Agent_017,screen related call. Customer experiencing touch sensitivity issues. Suggested removed recently installed apps as per protocol. partially resolved. Customer feedback: satisfied.
1/3/2024,CUS_5746,CUS_5746-1,iPhone 15,Technical Support,194,Agent_004,Customer service call about screen. Main complaint: screen flickers constantly. Walked them through tested in safe mode. Status: escalated. Customer was satisfied with support.
1/4/2024,CUS_4698,CUS_4698-1,iPhone 15,Technical Support,781,Agent_008,battery related call. Customer experiencing won't charge past 20%. Suggested disabled battery-heavy apps as per protocol. partially resolved. Customer feedback: somewhat satisfied.
1/4/2024,CUS_8138,CUS_8138-1,iPhone 15,Technical Support,894,Agent_010,Customer service call about battery. Main complaint: wireless charging not working. Walked them through disabled location services. Status: unresolved. Customer was unsatisfied with support.
1/5/2024,CUS_6914,CUS_6914-1,Galaxy S23,Technical Support,827,Agent_001,Incoming call - battery problems. Customer reported not detecting charger. Had them try checked charging patterns. Issue escalated but customer was unsatisfied.
1/6/2024,CUS_7953,CUS_7953-1,Galaxy S23,Technical Support,616,Agent_003,Incoming call - camera problems. Customer reported making clicking noise when opening app. Had them try restored default camera config. Issue partially resolved but customer was unsatisfied.
1/6/2024,CUS_9877,CUS_9877-1,Galaxy S23,Technical Support,297,Agent_014,Incoming call - battery problems. Customer reported won't charge past 20%. Had them try disabled location services. Issue resolved but customer was somewhat satisfied.
1/6/2024,CUS_5142,CUS_5142-1,iPhone 15,Technical Support,142,Agent_009,"Cust called about screen issues. Says screen flickers constantly. Walked through checked for screen protector issues. escalated, customer satisfied with result."
1/7/2024,CUS_9512,CUS_9512-1,iPhone 15,Technical Support,797,Agent_017,"Cust called about screen issues. Says screen flickers constantly. Walked through updated display drivers. resolved, customer satisfied with result."
1/7/2024,CUS_8098,CUS_8098-1,iPhone 15,Technical Support,654,Agent_010,Incoming call - screen problems. Customer reported touch really inconsistent. Had them try adjusted touch sensitivity. Issue escalated but customer was satisfied.
1/7/2024,CUS_8055,CUS_8055-1,iPhone 15,Technical Support,197,Agent_009,Incoming call - screen problems. Customer reported dead pixels spreading. Had them try adjusted touch sensitivity. Issue escalated but customer was satisfied.
1/8/2024,CUS_3938,CUS_3938-1,iPhone 15,Technical Support,895,Agent_011,Customer service call about screen. Main complaint: half the screen not responding. Walked them through checked for physical damage. Status: partially resolved. Customer was unsatisfied with support.
